Frames, Pages, Faults, Reads, Writes
5, 100, 217, 117, 100
10, 100, 222, 122, 100
15, 100, 235, 135, 100
20, 100, 260, 160, 100
25, 100, 271, 171, 100
30, 100, 283, 183, 100
35, 100, 280, 180, 100
40, 100, 319, 219, 100
45, 100, 331, 231, 100
50, 100, 306, 206, 100
55, 100, 340, 240, 100
60, 100, 359, 259, 100
65, 100, 332, 232, 100
70, 100, 320, 220, 100
75, 100, 357, 257, 100
80, 100, 336, 236, 100
85, 100, 313, 213, 100
90, 100, 298, 198, 100
95, 100, 256, 156, 100
100, 100, 200, 100, 100
