Frames, Pages, Faults, Reads, Writes
5, 100, 212, 106, 106
10, 100, 268, 135, 133
15, 100, 281, 142, 139
20, 100, 293, 151, 142
25, 100, 329, 171, 158
30, 100, 326, 170, 156
35, 100, 331, 167, 164
40, 100, 346, 179, 167
45, 100, 375, 196, 179
50, 100, 386, 201, 185
55, 100, 389, 203, 186
60, 100, 363, 186, 177
65, 100, 378, 196, 182
70, 100, 339, 173, 166
75, 100, 369, 191, 178
80, 100, 320, 166, 154
85, 100, 289, 151, 138
90, 100, 287, 148, 139
95, 100, 247, 126, 121
100, 100, 200, 100, 100
